,Hoonah,time,Skagway,Klukwan,Yakutat,Craig,Kasaan
269,95.70932,1980-09-26,319.37198,273.4937,85.503334,111.45212,81.42053
270,104.089,1980-09-27,348.07306,9.242035,114.49302,151.13373,126.267975
271,97.33043,1980-09-28,326.87195,304.68713,83.61661,135.84895,127.9671
272,107.384995,1980-09-29,324.70898,6.073715,94.524124,163.73795,144.317
273,139.53404,1980-09-30,6.7946243,42.289795,139.21649,152.31845,124.768105
274,127.79497,1980-10-01,349.41797,359.21906,111.314606,150.54785,142.0244
275,181.16571,1980-10-02,353.83728,51.231613,187.42537,175.65048,142.60995
276,104.14026,1980-10-03,330.20862,357.26624,98.76306,148.32974,125.273224
277,144.59471,1980-10-04,340.41696,24.644081,140.45258,133.40108,123.674385
278,90.54304,1980-10-05,326.87003,276.9482,91.43694,144.82811,132.46236
279,108.919136,1980-10-06,7.1883774,36.762215,130.70493,151.88383,130.2613
280,124.34453,1980-10-07,340.46152,28.862068,131.03111,157.45758,142.64041
281,191.2543,1980-10-08,0.6215668,31.780396,199.9495,218.18687,209.17505
282,154.05673,1980-10-09,337.73755,22.165443,144.61871,148.71132,143.74821
283,100.39804,1980-10-10,335.80496,349.89008,104.71472,119.6881,119.74799
284,98.72409,1980-10-11,346.669,348.09937,79.97137,157.36658,135.34645
285,121.44208,1980-10-12,340.35367,352.35944,37.637123,98.65988,91.266685
286,270.34558,1980-10-13,329.02155,263.56348,300.14444,330.1441,330.63162
287,176.85611,1980-10-14,260.92157,68.10555,99.606064,173.9644,276.35098
288,90.02734,1980-10-15,336.1622,358.33078,103.27257,133.10634,123.08088
289,96.05009,1980-10-16,347.75217,25.433952,248.4778,149.98508,126.76004
290,108.869026,1980-10-17,339.07074,18.601433,102.91531,156.95743,129.39822
291,130.27444,1980-10-18,335.2921,14.510193,140.84026,168.52617,145.15225
292,154.39905,1980-10-19,359.5616,33.161274,128.13087,136.35173,139.31876
293,109.01458,1980-10-20,321.77643,272.41946,103.195496,138.8628,124.73519
294,195.78293,1980-10-21,356.66876,87.05602,131.77495,180.35397,188.56009
295,87.46652,1980-10-22,327.88474,273.60205,91.967766,127.73149,126.1393
296,109.44718,1980-10-23,356.467,275.51666,69.67436,121.50871,119.08303
297,100.822,1980-10-24,348.1043,17.973198,90.42981,128.07236,123.86605
298,88.120995,1980-10-25,293.65295,289.06058,81.177185,127.78836,119.62079
299,108.08717,1980-10-26,328.71185,325.865,95.417435,103.013054,97.436874
300,88.46638,1980-10-27,330.79297,280.9424,87.461586,140.08513,123.58122
301,105.79303,1980-10-28,334.1604,287.1604,133.42079,181.31097,145.16063
302,211.26756,1980-10-29,346.1833,55.21838,234.22168,235.37686,219.6265
303,133.30759,1980-10-30,308.30682,257.13293,52.372814,91.53014,91.46585
304,92.58287,1980-10-31,314.55487,265.3703,18.559837,116.71619,112.62696
305,89.8045,1980-11-01,329.2625,261.00507,63.51623,131.43787,119.55206
306,171.30649,1980-11-02,351.95087,43.07247,119.39283,163.05573,135.67807
307,91.16586,1980-11-03,346.23346,325.21515,68.35797,125.1057,118.624435
308,102.237564,1980-11-04,345.80432,41.36755,116.87735,156.94237,132.84949
309,91.86349,1980-11-05,338.5235,31.750092,76.78518,71.28421,72.51813
310,139.38162,1980-11-06,322.30936,250.26633,319.32257,125.944374,117.304924
311,174.50723,1980-11-07,303.37677,249.03288,319.2049,89.0233,85.10512
312,203.187,1980-11-08,312.50128,158.93628,110.36195,266.2129,273.70648
313,122.02046,1980-11-09,338.80884,340.6167,93.02823,144.03719,119.074905
314,90.064125,1980-11-10,324.98004,293.682,83.53475,111.56263,102.464645
315,103.130936,1980-11-11,338.9447,308.2627,75.506905,115.43796,111.29512
316,92.7262,1980-11-12,336.65598,287.23828,95.39373,131.48654,122.50865
317,89.052086,1980-11-13,326.12613,261.57297,87.52023,158.44333,136.08836
318,130.52399,1980-11-14,351.56104,52.061832,103.01278,162.38477,145.12048
319,97.92899,1980-11-15,324.00177,302.63977,80.058685,142.73833,142.05501
320,116.4081,1980-11-16,330.21106,15.987961,102.37335,149.06647,132.13728
321,148.65076,1980-11-17,357.43552,48.951694,161.1083,150.00348,121.46676
322,133.75375,1980-11-18,340.86676,356.46747,103.03194,184.41174,148.10577
323,129.9362,1980-11-19,348.2309,13.610382,102.17677,142.30116,137.64847
324,116.01003,1980-11-20,333.33875,277.8917,95.77249,140.45883,126.85304
325,202.94664,1980-11-21,354.51132,71.981125,121.25578,181.1435,150.25806
326,123.98661,1980-11-22,349.4563,33.733395,92.13221,145.40317,133.39899
327,108.54593,1980-11-23,342.87128,343.31793,100.7503,153.5434,126.16955
328,110.323265,1980-11-24,342.4248,14.776291,96.89866,150.37308,142.17287
329,157.22607,1980-11-25,345.72217,8.984215,176.27145,198.4367,159.37195
330,97.47007,1980-11-26,330.99594,335.76932,102.06627,136.798,130.1334
331,145.2416,1980-11-27,334.6499,6.631569,76.85324,195.62024,165.60403
332,180.34378,1980-11-28,311.07874,53.3538,152.335,180.03096,143.9862
333,5.337555,1980-11-29,229.50168,208.48761,23.18055,28.56496,10.460632
334,45.097416,1980-11-30,273.04968,245.92004,30.100014,37.263927,27.913517
335,51.117294,1980-12-01,304.35675,263.59497,31.075397,25.82473,35.480614
336,100.50724,1980-12-02,279.40308,133.78651,286.86646,30.190777,20.845581
337,12.935333,1980-12-03,276.59186,129.90002,54.231155,28.506042,13.808029
338,174.64096,1980-12-04,279.81775,167.76697,134.81142,5.345459,0.23294067
339,206.03357,1980-12-05,317.86557,62.844944,98.96782,63.297432,11.677055
340,102.3114,1980-12-06,307.74142,80.64751,101.84699,134.32736,132.18619
341,82.75331,1980-12-07,312.98682,296.35855,85.88317,145.52878,127.0375
342,93.290794,1980-12-08,292.95764,226.2941,78.803246,204.01666,168.09045
343,98.02514,1980-12-09,285.57513,234.1289,58.73668,186.44113,148.81567
344,105.58821,1980-12-10,303.24194,254.81105,48.02722,167.4393,138.39229
345,184.26694,1980-12-11,323.95096,43.994846,93.11371,222.89255,133.98743
346,176.89052,1980-12-12,191.6582,49.485714,228.16411,183.9251,169.51718
347,101.73025,1980-12-13,342.20398,6.212021,78.43111,140.99255,126.08112
348,98.044014,1980-12-14,337.1995,22.205482,147.50433,152.46133,133.21492
349,215.6846,1980-12-15,0.7739868,41.17189,242.46391,354.92752,341.23172
350,216.40662,1980-12-16,9.176811,53.87048,335.0536,309.19928,323.09308
351,253.70096,1980-12-17,293.9095,265.00476,51.07975,312.89087,159.42017
352,93.73664,1980-12-18,273.97156,275.04495,81.103935,77.14222,47.08599
353,79.668045,1980-12-19,283.792,263.08026,59.377407,79.57222,16.968918
354,61.80933,1980-12-20,324.65927,261.2486,38.47314,54.766422,26.384491
355,43.72881,1980-12-21,332.0387,243.99066,30.073544,23.89653,0.7590027
